1758,0.0028447099,3532.2059973625,0.0,51.8,0.0,26.38,6,-1,100
1744,0.0028583716,3535.6587877155,62.4,51.4,98.8,26.65,5,-1,100
1799,0.0027709839,3539.2176499677,58.7,51.4,98.1,26.68,4,-1,100
1742,0.0028438576,3542.6499672659,62.6,51.3,97.5,26.69,3,-1,100
1775,0.0027825352,3546.0793509021,59.5,51.6,98.1,26.69,2,-1,100
1613,0.0030706758,3549.3077475584,69.1,50.1,96.6,26.74,1,-1,100
1267,0.0039210734,3552.9279343608,84.5,53.5,88.5,26.74,1,-1,100
939,0.0051586794,3557.3654450553,91.7,54.8,72.7,26.74,1,-1,100
1588,0.0031379093,3561.1472265606,70.6,54.9,91.9,26.74,1,-1,100
1761,0.0028131743,3564.5699744128,61.3,54.8,98.4,26.75,1,-1,100
1804,0.0027455654,3567.9754589697,57.9,55.2,97.8,26.75,1,-1,100
1580,0.003164557,3793.4158343302,0.0,52.3,0.0,26.46,7,0,1500
1678,0.0028676996,3796.9517956091,63.0,51.5,94.1,26.96,6,-1,1500
1593,0.0031104834,3800.6884155133,71.5,50.4,96.0,26.96,6,0,1500
1755,0.0027327635,3804.1590683831,60.2,52.1,95.6,27.0,5,-1,1500
1591,0.0029849151,3807.5366278213,66.6,52.1,91.9,27.0,5,0,1500
1753,0.0028077581,3810.9904591233,65.7,52.0,97.8,27.06,4,-1,1500
1606,0.0030846824,3814.7508648416,71.5,52.1,96.3,27.07,4,0,1500
1740,0.0027655172,3818.2970756068,59.5,52.6,93.8,27.07,3,-1,1500
1657,0.0029136995,3821.8390039363,64.7,51.8,93.8,27.07,2,-1,1500
1775,0.0028174648,3825.3720574155,59.8,52.0,98.1,27.07,1,-1,1500
1588,0.0030207809,3828.789640332,70.2,52.1,92.8,27.07,1,0,1500
611,0.0081849427,4026.7929457448,0.0,52.1,0.0,26.14,6,-1,100
813,0.0061881919,4031.0933725626,48.0,52.3,98.5,26.41,5,-1,100
693,0.007012987,4035.7198767077,68.8,51.4,92.5,26.43,4,-1,100
787,0.0063329098,4039.7751569263,57.3,49.8,97.5,26.45,3,-1,100
760,0.0065789474,4043.9700820135,60.4,49.2,96.3,26.45,2,-1,100
718,0.0068328691,4048.2541824423,64.7,50.8,93.8,26.5,1,-1,100
788,0.0063451777,4052.8471796864,58.9,50.8,97.2,26.5,1,-1,100
859,0.0058020955,4057.0588724361,47.1,50.9,98.5,26.53,1,-1,100
800,0.006035,4061.4976136816,51.6,50.8,95.9,26.53,1,-1,100
846,0.005929078,4065.7841143309,49.2,49.3,98.5,26.53,1,-1,100
825,0.00608,4070.1086296501,51.5,49.2,98.4,26.48,1,-1,100
841,0.0059643282,4074.3151160735,48.7,49.6,98.5,26.5,2,1,1300
801,0.0061061174,4078.851911999,54.0,50.7,96.6,26.5,3,1,1300
828,0.006057971,4083.0198664933,48.7,50.9,98.1,26.5,4,1,1300
748,0.0065387701,4087.3820144805,59.9,50.8,95.9,26.5,5,1,1300
765,0.0065359477,4091.5979130168,57.7,50.6,95.0,26.5,6,1,1300
618,0.008092233,4096.6360013786,73.8,50.5,82.9,26.5,7,1,1300
511,0.0093287671,4100.9968741267,72.9,53.8,69.2,26.51,8,1,1300
247,0.0184129555,4105.7479486774,98.2,56.8,41.3,26.52,9,1,1300
305,0.0152590164,4110.5982434953,100.0,60.9,58.2,26.53,10,1,1300
359,0.0140139276,4115.5426636924,98.3,60.1,68.6,26.53,11,1,1300
354,0.0135508475,4120.4711795028,93.0,63.2,59.8,26.54,12,1,1300
540,0.0092592593,4124.6097214142,80.3,61.8,81.5,26.54,13,1,1300
89,0.1886966292,4981.4656996138,0.0,81.1,0.0,26.21,8,1,100
104,0.1556153846,4986.5239704503,40.4,80.8,98.8,26.6,8,0,100
101,0.1531980198,4991.5998523873,38.1,80.9,98.8,26.61,8,0,100
102,0.174382353,4996.7494051573,37.9,80.9,99.1,26.61,8,0,100
98,0.1685408163,5001.7243740583,38.9,80.8,98.5,26.61,8,0,100
101,0.1402277228,5006.7383628954,39.1,80.2,99.7,26.3,8,0,100
99,0.1652525253,5011.7683951301,41.1,80.0,98.5,26.3,8,0,100
101,0.159039604,5016.8008609998,38.8,80.1,98.4,26.67,8,0,100
100,0.1667,5021.7891875196,40.2,80.1,99.4,26.31,8,0,100
88,0.1642045455,5026.885459396,50.4,80.1,96.9,26.31,9,1,100
108,0.1490555556,5031.7947513616,39.8,79.9,98.8,26.33,9,0,100
512,0.0060175781,5154.7208199985,0.0,81.6,0.0,26.54,1,-1,100
493,0.0067200811,5159.06033092,59.6,81.4,76.7,26.17,1,-1,100
480,0.0069958333,5163.7651301384,61.1,82.3,75.4,26.18,1,-1,100
307,0.0083876221,5169.0853253956,84.2,82.4,53.7,26.18,1,-1,100
540,0.0056037037,5173.2463223568,57.7,81.1,68.6,26.18,1,-1,100
592,0.005464527,5177.7958861871,46.8,81.1,73.8,26.61,1,-1,100
549,0.0063934426,5182.0764865011,52.3,80.5,81.6,26.25,1,-1,100
534,0.0063820225,5186.7111849535,50.8,81.6,78.0,26.25,1,-1,100
570,0.0062333333,5191.3129320467,47.5,80.6,80.1,26.62,1,-1,100
589,0.0057860781,5195.8901941797,43.1,80.8,77.6,26.26,1,-1,100
563,0.0059040853,5200.4234924168,50.0,81.3,79.8,26.26,1,-1,100
573,0.0122268761,5440.2846970874,0.0,85.7,0.0,26.0,4,-1,100
1047,0.0067602674,5444.5920149891,69.5,85.2,97.5,26.19,3,-1,100
1148,0.0054059233,5448.4400637071,63.0,86.0,96.9,26.29,2,-1,100
1105,0.0062054299,5452.3691131398,66.9,83.9,95.7,26.66,1,-1,100
1143,0.0056089239,5456.2331904257,63.7,83.9,97.2,26.31,1,-1,100
1168,0.0057619863,5460.3225901235,60.2,83.8,98.8,26.75,1,-1,100
1087,0.0062704692,5464.3958584231,63.7,84.3,92.2,26.75,1,-1,100
1180,0.0056220339,5468.5118186048,64.4,82.9,100.6,26.75,1,-1,100
991,0.0065993946,5472.583462649,70.6,83.7,94.1,26.75,1,-1,100
1197,0.0052030075,5476.7483569596,58.3,83.5,103.1,26.75,1,-1,100
1156,0.0057967128,5480.6065001207,62.1,84.5,93.8,26.38,1,-1,100
194,0.1039329897,6135.7683013211,0.0,83.7,0.0,26.5,4,-1,100
230,0.1060565217,6140.5049452294,31.6,84.1,5.0,26.16,3,-1,100
230,0.1039913043,6145.3791284955,21.1,82.9,11.2,26.56,2,-1,100
206,0.1121699029,6150.1196858825,53.3,84.0,2.8,26.57,1,-1,100
225,0.1062488889,6155.1159311326,38.9,83.5,5.6,26.19,1,-1,100
230,0.1082043478,6159.9051159817,20.5,83.9,1.2,26.23,1,-1,100
230,0.1037478261,6164.6392181293,16.2,82.6,8.4,26.25,1,-1,100
227,0.107845815,6169.3081564284,19.2,83.0,2.5,26.25,1,-1,100
230,0.1030608696,6174.1182498331,21.4,82.4,7.5,26.25,1,-1,100
225,0.1047733333,6178.890120483,17.0,82.9,4.7,26.25,1,-1,100
230,0.1007695652,6183.6620239849,16.1,82.5,9.4,26.25,1,-1,100
450,2.5389111111,7713.1226786449,0.0,94.7,0.0,73.96,8,-1,100
151,8.2254701987,7719.264214102,83.5,94.7,80.2,125.38,7,-1,100
61,12.1777704919,7724.6468744747,83.4,94.9,85.8,167.57,8,1,100
43,15.205255814,7730.9220566916,92.8,59.4,63.7,197.19,9,1,100
123,26.5854796748,7737.6119714481,79.8,59.6,88.8,251.92,8,-1,100
30,28.2909999999,7743.6880535444,69.8,61.3,95.7,294.43,9,1,100
68,36.3948676469,7748.2277352775,65.6,62.3,97.5,349.38,10,1,100
30,38.782,7753.465227445,67.6,63.4,96.3,399.69,11,1,100
77,46.4732207793,7757.9904656968,57.7,64.1,95.7,460.96,12,1,100
41,48.7799756099,7762.3543290452,76.3,64.7,97.1,501.45,13,1,100
149,57.4504832215,7767.7275569535,46.4,65.2,95.7,595.54,12,-1,100
381,61.5592650919,7770.9345926575,41.9,66.9,99.1,769.58,13,1,900
369,66.4579837398,7775.5987073639,41.8,69.6,98.1,949.0,14,1,900
403,71.4938560794,7780.4444795158,53.9,71.4,97.6,1106.3,15,1,900
396,76.5776641414,7785.2803498856,47.3,74.2,98.6,1297.18,16,1,900
470,82.4703106383,7790.8087509475,28.0,75.5,41.0,1388.02,17,1,900
491,87.2169490835,7795.2804170679,22.5,75.3,2.8,1388.02,18,1,900
486,92.0257386831,7799.8295094545,16.3,75.0,1.9,1388.02,19,1,900
483,96.8162049689,7804.354141653,20.3,75.2,0.6,1388.02,20,1,900
480,101.6066729167,7808.8764527768,12.4,75.0,0.9,1388.02,21,1,900
474,106.4676054852,7813.404996791,22.9,75.3,1.6,1388.02,22,1,900
499,111.2755891784,7818.0380570028,25.8,75.7,2.2,1388.02,23,1,900
399,115.8628095238,7822.4844581734,97.2,79.8,2.6,1388.03,24,1,900
468,121.2766901709,7827.6853246388,93.8,79.5,0.9,1388.03,23,-1,100
488,126.1115266393,7832.2289252477,43.3,76.5,0.6,1388.03,22,-1,100
474,130.9914219409,7836.8366845167,21.2,76.9,1.6,1388.0,21,-1,100
475,135.9126926316,7841.4421822187,14.2,76.5,0.9,1388.0,20,-1,100
481,140.7631081081,7846.0850782375,25.0,76.4,0.3,1387.97,20,0,100
487,145.6671026694,7850.8587930594,16.2,75.8,1.2,1388.04,20,0,100
481,150.4423201663,7855.4534288707,29.2,73.4,0.6,1388.04,20,0,100
474,155.227907173,7860.0249994485,13.0,73.1,1.2,1388.04,20,0,100
502,160.0797310757,7864.7702884517,31.7,73.5,2.5,1388.04,20,0,100
463,164.9985161987,7869.5262010659,51.1,74.6,0.3,1388.04,20,0,100
479,169.8682713988,7874.0955296976,69.3,77.0,1.6,1388.04,20,0,100
487,174.7096488707,7878.6859105936,26.9,76.0,0.9,1388.02,20,0,100
116,0.7287758621,124.5837147462,0.0,93.8,0.0,33.63,2,1,900
171,5.4179356725,130.0643824165,85.0,92.3,40.9,61.36,3,1,900
321,9.5112149533,133.6865914135,57.2,93.1,0.9,61.37,4,1,900
321,14.3554330218,138.3114050749,94.7,93.2,1.2,61.38,5,1,900
322,18.9845248447,142.7263439642,81.8,90.6,1.5,60.68,6,1,900
320,23.652546875,146.7412012875,52.5,89.1,0.3,60.72,7,1,900
324,28.4041666666,151.2473046353,40.7,89.0,0.3,60.72,8,1,900
322,32.9714596273,155.8279863181,28.8,89.0,0.0,60.25,9,1,900
323,35.9330619195,160.0308141192,26.7,88.7,0.9,60.25,10,1,900
326,40.3272760736,164.381854687,27.2,89.3,0.3,60.22,10,0,900
313,45.2933035144,168.9940903309,61.1,89.4,0.6,60.2,10,0,900
150,2.52278,24.1280545076,0.0,85.7,0.0,55.28,2,1,900
60,8.5378166666,30.5603227774,99.9,86.0,71.1,87.03,3,1,900
143,12.6947342657,34.1056285988,99.9,85.9,52.6,107.51,4,1,900
160,17.38095,38.6405982375,99.5,86.3,40.4,119.47,5,1,900
160,22.40520625,43.5101938114,99.6,86.3,36.6,132.32,6,1,900
150,27.1727866666,47.7905553675,99.4,86.7,43.0,144.28,7,1,900
160,32.094275,52.3519461632,99.3,86.3,31.2,155.34,8,1,900
170,37.2048294118,57.2833540944,99.9,86.8,31.7,164.75,9,1,900
150,42.2476333334,62.1232227723,100.0,86.6,40.4,177.0,10,1,900
160,47.107125,66.7061079085,97.7,87.3,5.6,178.35,10,0,900
